2025-10-16 15:23:26,577:WARNING:discord.client: PyNaCl is not installed, voice will NOT be supported
2025-10-16 15:23:26,578:DEBUG:discord.client: on_ready has successfully been registered as an event
2025-10-16 15:23:26,578:DEBUG:discord.client: on_member_join has successfully been registered as an event
[2025-10-16 15:23:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'unavailable': False, 'afk_timeout': 300, 'lazy': True, 'region': 'deprecated', 'channels': [{'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Kênh Chat', 'id': '879547134758752277', 'flags': 0}, {'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Kênh đàm thoại', 'id': '879547134758752278', 'flags': 0}, {'version': 0, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '879547134758752278', 'name': 'Chung', 'last_message_id': None, 'id': '879547134758752280', 'flags': 0, 'bitrate': 64000}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [{'type': 1, 'id': '879562094784155648', 'deny': '0', 'allow': '1024'}, {'type': 0, 'id': '879547134758752276', 'deny': '1024', 'allow': '0'}], 'parent_id': '879547134758752277', 'name': 'test-bot', 'last_message_id': '1428070884114960384', 'id': '879563551914749993', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '879547134758752277', 'nsfw': True, 'name': 'lablabla', 'last_message_id': '1428296397194793040', 'id': '888423714880888872', 'flags': 0}], 'premium_features': None, 'max_stage_video_channel_users': 50, 'guild_scheduled_events': [], 'banner': None, 'max_members': 25000000, 'profile': None, 'voice_states': [], 'system_channel_flags': 0, 'stage_instances': [], 'max_video_channel_users': 25, 'embedded_activities': [], 'presences': [], 'premium_progress_bar_enabled': False, 'id': '879547134758752276', 'emojis': [], 'large': False, 'name': 'test bot', 'home_header': None, 'latest_onboarding_question_id': None, 'nsfw': False, 'hub_type': None, 'threads': [], 'explicit_content_filter': 0, 'features': [], 'description': None, 'application_command_counts': {}, 'splash': None, 'roles': [{'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '879547134758752276', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {'bot_id': '434556304661544960'}, 'position': 1, 'permissions': '403041526', 'name': 'Waifu', 'mentionable': False, 'managed': True, 'id': '888422550198169601', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {'bot_id': '512227974893010954'}, 'position': 1, 'permissions': '8798240369911', 'name': 'Martine', 'mentionable': False, 'managed': True, 'id': '888423045943935007', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {'bot_id': '879562094784155648'}, 'position': 1, 'permissions': '8', 'name': 'Num', 'mentionable': False, 'managed': True, 'id': '893140409365188668', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1726235526811, 'unicode_emoji': None, 'tags': {'bot_id': '1284147554421968907'}, 'position': 1, 'permissions': '8', 'name': 'Beiucuayunyun', 'mentionable': False, 'managed': True, 'id': '1284149615926448282', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1760500992627, 'unicode_emoji': None, 'tags': {'bot_id': '1427865065683419136'}, 'position': 1, 'permissions': '8', 'name': 'Amida', 'mentionable': False, 'managed': True, 'id': '1427869396134789253', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'rules_channel_id': None, 'nsfw_level': 0, 'verification_level': 0, 'member_count': 8, 'mfa_level': 0, 'system_channel_id': None, 'vanity_url_code': None, 'default_message_notifications': 0, 'members': [{'user': {'username': 'Amida', 'public_flags': 0, 'primary_guild': None, 'id': '1427865065683419136', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0264', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c2d62b572fdee821f8124db3edc85977'}, 'roles': ['1427869396134789253'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-15T04:03:12.657132+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'joined_at': '2025-10-15T04:03:12.657132+00:00', 'incidents_data': None, 'public_updates_channel_id': None, 'stickers': [], 'owner_id': '878077780233973842', 'application_id': None, 'preferred_locale': 'en-US', 'safety_alerts_channel_id': None, 'icon': None, 'inventory_settings': None, 'soundboard_sounds': [], 'owner_configured_content_level': None, 'moderator_reporting': None, 'activity_instances': [], 'version': 1678836765945, 'premium_subscription_count': 0, 'discovery_splash': None, 'premium_tier': 0, 'afk_channel_id': None}}
[2025-10-16 15:23:28] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-16 15:23:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 3, 'op': 0, 'd': {'unavailable': False, 'afk_timeout': 300, 'lazy': True, 'region': 'deprecated', 'channels': [{'version': 1760549359980, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Kênh Chat', 'id': '1428072263751827666', 'flags': 0}, {'version': 1760549359982, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1428072263751827666', 'name': 'chung', 'last_message_id': '1428075421135540296', 'id': '1428072263751827667', 'flags': 0}, {'version': 1760549359992, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1428072263751827666', 'name': 'trò-chơi', 'last_message_id': None, 'id': '1428072263751827668', 'flags': 0}, {'version': 1760549359994, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'parent_id': '1428072263751827666', 'name': 'âm-nhạc', 'last_message_id': None, 'id': '1428072263751827669', 'flags': 0}, {'version': 1760549359997, 'type': 4, 'position': 4, 'permission_overwrites': [], 'name': 'Kênh Thoại', 'id': '1428072263751827670', 'flags': 0}, {'version': 1760549360000, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [], 'parent_id': '1428072263751827670', 'name': 'Phòng Chờ', 'last_message_id': None, 'id': '1428072263751827671', 'flags': 0, 'bitrate': 64000}, {'version': 1760549360002, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 6, 'permission_overwrites': [], 'parent_id': '1428072263751827670', 'name': 'Phòng Stream', 'last_message_id': None, 'id': '1428072263751827672', 'flags': 0, 'bitrate': 64000}, {'version': 1760549422933, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [], 'parent_id': '1428072263751827666', 'name': 'nsfw', 'last_message_id': '1428206449200337178', 'id': '1428072527774744668', 'flags': 0}], 'premium_features': None, 'max_stage_video_channel_users': 50, 'guild_scheduled_events': [], 'banner': None, 'max_members': 25000000, 'profile': None, 'voice_states': [], 'system_channel_flags': 0, 'stage_instances': [], 'max_video_channel_users': 25, 'embedded_activities': [], 'presences': [], 'premium_progress_bar_enabled': False, 'id': '1428072262862377012', 'emojis': [], 'large': False, 'name': '4 ng gây', 'home_header': None, 'latest_onboarding_question_id': None, 'nsfw': False, 'hub_type': None, 'threads': [], 'explicit_content_filter': 0, 'features': [], 'description': None, 'application_command_counts': {}, 'splash': None, 'roles': [{'version': 1760549359976, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1428072262862377012', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'rules_channel_id': None, 'nsfw_level': 0, 'verification_level': 0, 'member_count': 4, 'mfa_level': 0, 'system_channel_id': '1428072263751827667', 'vanity_url_code': None, 'default_message_notifications': 0, 'members': [{'user': {'username': 'Amida', 'public_flags': 0, 'primary_guild': None, 'id': '1427865065683419136', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0264', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c2d62b572fdee821f8124db3edc85977'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-15T17:31:06.914000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'joined_at': '2025-10-15T17:31:06.914000+00:00', 'incidents_data': None, 'public_updates_channel_id': None, 'stickers': [], 'owner_id': '878077780233973842', 'application_id': None, 'preferred_locale': 'en-US', 'safety_alerts_channel_id': None, 'icon': '64ba461d4b8a19e43e8dfcffbc0cf632', 'inventory_settings': None, 'soundboard_sounds': [], 'owner_configured_content_level': 0, 'moderator_reporting': None, 'activity_instances': [], 'version': 1760549360006, 'premium_subscription_count': 0, 'discovery_splash': None, 'premium_tier': 0, 'afk_channel_id': None}}
[2025-10-16 15:23:28] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-16 15:23:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 4, 'op': 0, 'd': {'nonce': '1ee8dd4716509799827fbe49688989b7', 'members': [{'user': {'username': 'Waifu', 'public_flags': 65536, 'primary_guild': None, 'id': '434556304661544960', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2747', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '98bdd36f05fb452adeb6a37c1b5f0546'}, 'roles': ['888422550198169601'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2021-09-17T13:54:02.112000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Martine', 'public_flags': 65536, 'primary_guild': None, 'id': '512227974893010954', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '4245', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'fdf8df95434bf60eaf15dce77700459d'}, 'roles': ['888423045943935007'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2021-09-17T13:56:00.307000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Koro', 'public_flags': 0, 'primary_guild': None, 'id': '794169472935526421', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '9610', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c6bedca0ba8ab6aac433d587ab1f76e4'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2021-09-30T05:11:20.278000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'jinshengtan123', 'public_flags': 0, 'primary_guild': None, 'id': '878077780233973842', 'global_name': '💖', 'display_name_styles': None, 'display_name': '💖', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '429231d26face561881bfbcf01cc95e0'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2021-08-24T02:06:18.132000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'DiscordJSbuhbuh', 'public_flags': 0, 'primary_guild': None, 'id': '879562094784155648', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '4544', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'e5e7ec17229c0bb648cb9f1d64209af5'}, 'roles': ['893140409365188668'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2021-08-24T03:06:48.348000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'NochimSearching', 'public_flags': 0, 'primary_guild': None, 'id': '895292392758976582', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0753', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2021-10-06T12:53:55.340000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Beiucuayunyun', 'public_flags': 0, 'primary_guild': None, 'id': '1284147554421968907', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0987', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'd53db37efb904d79a6680dda5eb064c3'}, 'roles': ['1284149615926448282'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-09-13T13:52:06.848000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Amida', 'public_flags': 0, 'primary_guild': None, 'id': '1427865065683419136', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0264', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c2d62b572fdee821f8124db3edc85977'}, 'roles': ['1427869396134789253'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-15T04:03:12.657132+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '879547134758752276', 'chunk_index': 0, 'chunk_count': 1}}
[2025-10-16 15:23:28] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-16 15:23:28] [DEBUG   ] discord.state: Processed a chunk for 8 members in guild ID 879547134758752276.
[2025-10-16 15:23:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 5, 'op': 0, 'd': {'nonce': 'dd9ff78b6e64f9b099866b6dcee67c25', 'members': [{'user': {'username': 'jinshengtan123', 'public_flags': 0, 'primary_guild': None, 'id': '878077780233973842', 'global_name': '💖', 'display_name_styles': None, 'display_name': '💖', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '429231d26face561881bfbcf01cc95e0'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-15T17:29:19.916000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'tien_04238', 'public_flags': 0, 'primary_guild': None, 'id': '1265581405832740945', 'global_name': 'Hacker', 'display_name_styles': None, 'display_name': 'Hacker', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '8f3c4b2292bce78c74d2561b275b49d5'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-15T17:30:25.150000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'hummmz_z_69017', 'public_flags': 0, 'primary_guild': None, 'id': '1291412487853314139', 'global_name': 'phuz', 'display_name_styles': None, 'display_name': 'phuz', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'dca65d5a2d46853180a6b52169a6d452'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-15T17:30:04.939000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Amida', 'public_flags': 0, 'primary_guild': None, 'id': '1427865065683419136', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0264', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c2d62b572fdee821f8124db3edc85977'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-15T17:31:06.914000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1428072262862377012', 'chunk_index': 0, 'chunk_count': 1}}
[2025-10-16 15:23:28] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-16 15:23:28] [DEBUG   ] discord.state: Processed a chunk for 4 members in guild ID 1428072262862377012.
